Structure Number1,GPS Lat,GPS Long,Wood Species2,Preservative3,Moisture %,Chlorine %,Sawdust Program wt.% Pres.,Sawdust Progrqm PCF,Comments
717 (2),45.63398 N,61.47158 W,DF,,20.6,0.268,,0.113,
718 (1),45.63500 N,61.46891 W,,,8.2,,,0,
718 (2),45.63500 N,61.46891 W,,,8.9,,,0,
719 (1),45.63611 N,61.46608 W,DF,,9.8,0.185,,0.078,
719 (2),45.63611 N,61.46608 W,DF,,8.2,0.322,,0.136,
720 (1),45.63723 N,61.46300 W,RP,,21.3,,,0,
720 (2),45.63723 N,61.46300 W,RP,,10.9,,,0,
721 (1),45.63803 N,61.46101 W,,,9.7,0,,0,
721 (2),45.63803 N,61.46101 W,,,10.9,0,,0,
722 (1),45.63877 N,61.45893 W,,,19.7,0,,0,
722 (2),45.63877 N,61.45893 W,,,18.6,0.03,,0.011,
723 (1),45.63916 N,61.45748 W,,,27.9,0,,0,
723 (2),45.63916 N,61.45748 W,,,25.4,0,,0,
723 (3),45.63916 N,61.45748 W,,,26.3,0.023,,0.008,
724 (1),45.63942 N,61.4596 W,,,,,,0,Surrounded by water
724 (2),45.63942 N,61.4596 W,,,,,,0,Surrounded by water
725 (1),45.63945 N,61.45243 W,DF,,23.9,0.853,,0.359,
725 (2),45.63945 N,61.45243 W,DF,,18.8,0.574,,0.242,
726 (1),45.63946 N,61.45000 W,RP,,16.9,0.51,,0.186,
726 (2),45.63946 N,61.45000 W,RP,,18.3,0.812,,0.296,
727 (1),45.63943 N,61.44854 W,RP,,27.9,1.023,,0.373,
727 (2),45.63943 N,61.44854 W,RP,,19.8,0.859,,0.313,
728 (1),45.6981 N,61.44527 W,DF,,28.3,0.269,,0.113,
728 (2),45.6981 N,61.44527 W,DF,,17.9,0.402,,0.169,
728 (3),45.6981 N,61.44527 W,DF,,19.7,0.038,,0.016,
729 (1),45.63984 N,61.43934 W,,,17.1,0.384,,0.14,
729 (2),45.63984 N,61.43934 W,,,12.3,0.233,,0.085,
729 (3),45.63984 N,61.43934 W,,,19.7,0.279,,0.102,
730 (1),45.63989 N,61.43769 W,,,17.9,0.067,,0.028,
730 (2),45.63989 N,61.43769 W,,,18.3,0.133,,0.056,
731 (1),45.63990 N,61.43549 W,DF,,18.1,0.33,,0.139,
731 (2),45.63990 N,61.43549 W,DF,,17.9,0.47,,0.198,
732 (1),45.64011 N,61.43094 W,DF,,17.9,0.625,,0.264,
732 (2),45.64011 N,61.43094 W,DF,,16.7,1.267,,0.534,
732 (3),45.64011 N,61.43094 W,DF,,17.1,0.481,,0.203,
733 (1),45.63989 N,61.42849 W,,,16.1,0.489,,0.178,
733 (2),45.63989 N,61.42849 W,,,12.2,0.047,,0.017,
733 (3),45.63989 N,61.42849 W,,,14.9,0,,0,
