Structure Number1,GPS Lat,GPS Long,Wood Species2,Preservative3,Moisture %,Chlorine %,Sawdust Program wt.% Pres.,Sawdust Progrqm PCF,Comments
102 (2),45.47494 N,63.07143 W,RP ,Penta,8.7,,,0,
103 (1),45.47568 N,63.06934 W,RP ,Penta,9.5,,0.364,0.133,
103 (2),45.47568 N,63.06934 W,RP ,Penta,8.7,,0.618,0.225,
104 (1),45.47626 N,63.06784 W,RP ,Penta,10.9,,0.7,0.255,
104 (2),45.47626 N,63.06784 W,RP ,Penta,11.4,,0.901,0.328,
105 (1),45.47715 N,63.06511 W,RP ,Penta,9.4,,,0,
105 (2),45.47715 N,63.06511 W,RP ,Penta,8.6,,,0,
106 (1),45.47815 N,63.06244 W,RP,Penta,8.2,,0.489,0.178,
106 (2),45.47815 N,63.06244 W,RP ,Penta,8.1,,0.17,0.062,
107 (1),45.47886 N,63.06040 W,YP,Penta,8.2,,0.717,1.076,
107 (2),45.47886 N,63.06040 W,YP,Penta,8.1,,0.428,0.216,
108 (1),45.47945 N,63.05866 W,YP,Penta,8.1,,0.426,0.215,
108 (2),45.47945 N,63.05866 W,YP,Penta,8.2,,0.272,0.138,
109 (1),45.48013 N,63.05672 W,YP,Penta,10.8,,,0,
109 (2),45.48013 N,63.05672 W,YP,Penta,8.2,,,0,
110 (1),45.48084 N,63.05457 W,DF,Penta,9.1,,1.877,0.791,
110 (2),45.48084 N,63.05457 W,DF,Penta,10.1,,1.036,0.437,
111 (1),45.48187 N,63.05201 W,DF,Penta,11.9,,0.563,0.237,
111 (2),45.48187 N,63.05201 W,DF,Penta,8.2,,0.293,0.124,
112 (1),45.48243 N,63.05053 W,YP,Penta,12.6,,,0,
112 (2),45.48243 N,63.05053 W,YP,Penta,11.8,,,0,
113 (1),45.48332 N,63.04818 W,YP,Penta,N/A,,,0,
113 (2),45.48332 N,63.04818 W,YP,Penta,N/A,,,0,
114 (1),45.48442 N,63.04479 W,DF,Penta,8,,0.113,0.048,
114 (2),45.48442 N,63.04479 W,DF ,Penta,8.1,,0.271,0.114,
115 (1),45.48505 N,63.04305 W,DF ,Penta,8.5,,,0,
115 (2),45.48505 N,63.04305 W,DF ,Penta,13.1,,0.635,0.268,
116 (1),45.48571 N,63.04143W,RP ,Penta,8.5,,,0,
116 (2),45.48571 N,63.04143W,RP ,Penta,8.1,,,0,
117 (1),45.48648 N,63.03936 W,RP ,Penta,29,,,0,
117 (2),45.48648 N,63.03936 W,RP ,Penta,11.3,,,0,
118 (1),45.48716 N,63.03732 W,RP ,Penta,27.2,,,0,
118 (2),45.48716 N,63.03732 W,RP ,Penta,10.2,,,0,
119 (1),45.48849 N,63.03375 W,RP ,Penta,10.2,,,0,
119 (2),45.48849 N,63.03375 W,RP ,Penta,9.1,,,0,
120 (1),45.48918 N,63.03194 W,YP,Penta,15.2,,1.008,0.51,
120 (2),45.48918 N,63.03194 W,YP,Penta,10.8,,0.413,0.209,
121 (1),45.48974 N,63.03039 W,RP ,Penta,8.2,,,0,
121 (2),45.48974 N,63.03039 W,RP ,Penta,8.2,,,0,
122 (1),45.49039 N,63.02859 W,RP ,Penta,13.3,,0.406,0.148,
122 (2),45.49039 N,63.02859 W,RP ,Penta,11.7,,,0,
123 (1),45.49168 N,63.02499 W,RP ,Penta,13.6,,,0,
123 (2),45.49168 N,63.02499 W,RP ,Penta,14.8,,,0,
124 (1),45.49251 N,63.02248 W,DF,Penta,14.4,,1.173,1.759,
124 (2),45.49251 N,63.02248 W,DF,Penta,10.6,,1.378,2.066,
125 (1),45.40406,-63.23761,RP ,Penta,8.3,,,0,
125 (2),45.40406,-63.23761,RP ,Penta,11.4,,,0,
126 (1),45.50169,-64.03531,RP ,Penta,11.5,,0.885,0.323,
126 (2),45.50169,-64.03531,RP ,Penta,10.1,,0.918,0.335,
127 (1),45.50369,-64.12419,RP ,Penta,13.7,,,0,
127 (2),45.50369,-64.12419,RP ,Penta,15.3,,,0,
128 (1),45.42175,-63.0205,RP ,Penta,13.2,,,0,
128 (2),45.42175,-63.0205,RP ,Penta,14.2,,,0,
129 (1),45.50636,-63.01703,DF ,Penta,12.8,,1.86,2.79,
129 (2),45.50636,-63.01703,DF ,Penta,11.7,,1.854,2.782,
130 (1),45.50744,-63.01392,RP ,Penta,11.3,,,0,
130 (2),45.50744,-63.01392,RP ,Penta,9.9,,,0,
131 (1),45.50883,-63.01078,RP ,Penta,15.8,,,0,
131 (2),45.50883,-63.01078,RP ,Penta,11.2,,,0,
132 (1),45.50983,-63.00753,RP ,Penta,14.8,,,0,
132 (2),45.50983,-63.00753,RP ,Penta,8.1,,,0,
133 (1),45.51089,-63.00467,RP ,Penta,10.1,,0.937,0.342,
133 (2),45.51089,-63.00467,RP ,Penta,6.8,,1.136,0.414,
134 (1),45.50089,-63.00169,RP ,Penta,7.1,,,0,
134 (2),45.50089,-63.00169,RP ,Penta,7,,,0,
135 (1),45.50256,-64.00814,RP ,Penta,7.6,,,0,
135 (2),45.50256,-64.00814,RP ,Penta,8.1,,,0,
136 (1),45.50381,-64.00475,RP ,Penta,7.6,,,0,
136 (2),45.50381,-64.00475,RP ,Penta,9.1,,,0,
137 (1),45.50519,-64.00094,RP ,Penta,7,,0.929,0.469,
137 (2),45.50519,-64.00094,RP ,Penta,6.2,,0.736,0.372,
138 (1),45.50622,-63.66494,RP ,Penta,7.5,,,0,
138 (2),45.50622,-63.66494,RP ,Penta,6.8,,,0,
139 (1),45.50792,-63.99375,DF ,Penta,7.6,,0.886,0.373,
139 (2),45.50792,-63.99375,DF ,Penta,6.8,,1.882,0.793,
140 (1),45.50939,-63.98958,RP ,Penta,11.2,,,0,
140 (2),45.50939,-63.98958,RP ,Penta,10.8,,0.879,0.444,
141 (1),45.51089,-64.00211,RP ,Penta,6.5,,,0,
141 (2),45.51089,-64.00211,RP ,Penta,7.3,,,0,
142 (1),45.51203,-63.99358,RP ,Penta,7.2,,0.619,0.313,
142 (2),45.51203,-63.99358,RP ,Penta,6.1,,0.415,0.21,
143 (1),45.51333,-63.98983,RP ,Penta,6,,,0,
143 (2),45.51333,-63.98983,RP ,Penta,6.2,,,0,
144 (1),45.51486,-62.98575,RP ,Penta,5.8,,,0,
144 (2),45.51486,-62.98575,RP ,Penta,6.3,,,0,
145 (1),45.51708,-62.97969,DF ,Penta,6.5,,0.778,0.328,
145 (2),45.51708,-62.97969,DF ,Penta,6.9,,0.319,0.134,
146 (1),45.51611,-62.97469,RP ,Penta,10.3,,,0,
146 (2),45.51611,-62.97469,RP ,Penta,10.7,,,0,
147 (1),45.51992,-62.97183,RP ,Penta,14.1,,,0,
147 (2),45.51992,-62.97183,RP ,Penta,11.2,,,0,
148 (1),45.52114,-62.96856,RP ,Penta,13.7,,0.845,0.427,
148 (2),45.52114,-62.96856,RP ,Penta,11.2,,0.35,0.177,
149 (1),45.52414,-62.97636,RP ,Penta,11.1,,,0,
149 (2),45.52414,-62.97636,RP ,Penta,10.2,,,0,
150 (1),45.51421 N,62.96398 W,DF ,Penta,16.2,,1.683,0.71,
150 (2),45.51421 N,62.96398 W,DF ,Penta,14.8,,1.477,0.623,
151 (1),45.51505 N,62.96186 W,RP,Penta,13.9,,,0,
151 (2),45.51505 N,62.96186 W,RP ,Penta,16.4,,,0,
152 (1),45.51592 N,62.95968 W,DF ,Penta,15.3,,1.601,0.675,
152 (2),45.51592 N,62.95968 W,DF ,Penta,14.2,,1.619,0.682,
153 (1),45.51669 N,62.95767 W,RP ,Penta,10.7,,,0,
153 (2),45.51669 N,62.95767 W,RP ,Penta,11.5,,,0,
154 (1),45.51771 N,62.95507 W,RP,Penta,14.6,,0.753,0.274,
154 (2),45.51771 N,62.95507 W,RP ,Penta,10.5,,0.974,0.355,
155 (1),45.51943 N,62.95320 W,RP ,Penta,12.4,,,0,
155 (2),45.51943 N,62.95320 W,RP ,Penta,13.1,,,0,
156 (1),45.51943 N,62.95088 W,DF ,Penta,17.1,,1.525,0.643,
156 (2),45.51943 N,62.95088 W,DF ,Penta,8.6,,1.691,0.713,
157 (1),45.52301 N,62.94880 W,YP,Penta,6.3,,,0,
157 (2),45.52301 N,62.94880 W,YP,Penta,6,,,0,
158 (1),45.52092 N,62.94699 W,YP,Penta,12.7,,0.885,0.447,
158 (2),45.52092 N,62.94699 W,YP,Penta,11.1,,0.837,0.423,
159 (1),45.52157 N,62.94513 W,DF ,Penta,10.7,,0.731,0.308,
159 (2),45.52157 N,62.94513 W,DF ,Penta,13.3,,2.018,0.851,
160 (1),45.52282 N,62.94214 W,DF ,Penta,9.9,,1.071,0.451,
160 (2),45.52282 N,62.94214 W,DF ,Penta,9.7,,0.71,0.299,
161 (1),45.52374 N,62.93983 W,RP ,Penta,13.4,,0.222,0.081,
161 (2),45.52374 N,62.93983 W,RP ,Penta,8.8,,,0,
162 (1),45.52485 N,62.93670 W,DF ,Penta,9,,0.697,0.294,
162 (2),45.52485 N,62.93670 W,DF ,Penta,8.7,,0.9,0.379,
163 (1),45.52603 N,62.93399 W,RP ,Penta,9.6,,,0,
163 (2),45.52603 N,62.93399 W,RP ,Penta,8.5,,,0,
164 (1),45.52652 N,62.93247 W,YP,Penta,12.2,,0.702,0.355,
164 (2),45.52652 N,62.93247 W,YP,Penta,10.1,,0.981,0.496,
164 (3),45.52652 N,62.93247 W,YP,Penta,9.2,,1.288,0.651,
165 (1),45.52723 N,62.93115 W,RP ,Penta,11.9,,,0,
165 (2),45.52723 N,62.93115 W,RP ,Penta,10.4,,,0,
166 (1),45.52814 N,62.92022 W,DF ,Penta,9,,0.38,0.16,
166 (2),45.52814 N,62.92022 W,DF ,Penta,8.2,,0.485,0.204,
167 (1),45.52917 N,62.92695 W,DF ,Penta,8.3,,0.541,0.228,
167 (2),45.52917 N,62.92695 W,DF ,Penta,8.2,,0.464,0.196,
168 (1),45.53147 N,62. 92443 W,DF ,Penta,12.7,,0.87,0.367,
168 (2),45.53147 N,62. 92443 W,DF ,Penta,8.3,,1.1,0.464,
169 (1),45.53147 N,62.92194 W,DF ,Penta,10.9,,1.136,0.479,
169 (2),45.53147 N,62.92194 W,DF ,Penta,8.3,,0.408,0.172,
170 (1),45.53304 N,62.91850 W,RD,Penta,9.2,,1.664,0.701,
170 (2),45.53304 N,62.91850 W,RD,Penta,8.7,,1.739,0.733,
171 (1),45.53414 N,62.91596 W,RD,Penta,10.9,,,0,
171 (2),45.53414 N,62.91596 W,RD,Penta,10.1,,,0,
172 (1),45.53512 N,62.91399 W,DF ,Penta,10.3,,1.127,0.475,
172 (2),45.53512 N,62.91399 W,DF ,Penta,8.1,,1.086,0.458,
173 (1),45.53607 N,62.91192 W,RP ,Penta,9.4,,0.52,0.263,
173 (2),45.53607 N,62.91192 W,RP ,Penta,8.1,,0.29,0.147,
174 (1),45.53713 N,62.90982 W,RP ,Penta,10.3,,0.447,0.163,
174 (2),45.53713 N,62.90982 W,RP ,Penta,10.6,,0.642,0.234,
175 (1),45.53805 N,62.90752 W,RP ,Penta,8.3,,,0,
175 (2),45.53805 N,62.90752 W,RP ,Penta,8.1,,,0,
176 (1),45.53910 N,62.90530 W,RP ,Penta,8.12,,,0,
176 (2),45.53910 N,62.90530 W,RP ,Penta,9.7,,,0,
177 (1),45.54002 N,62.90325 W,DF ,Penta,8.1,,1.283,0.541,
177 (2),45.54002 N,62.90325 W,DF ,Penta,14.7,,1.697,0.715,
177 (3),45.54002 N,62.90325 W,DF ,Penta,13.5,,2.05,0.864,
178 (1),45.54086 N,62.90058 W,DF ,Penta,8.3,,0.746,0.314,
178 (2),45.54086 N,62.90058 W,DF ,Penta,8.1,,1.283,0.541,
179 (1),45.54164 N,62.89819 W,RP ,Penta,12.7,,,0,
179 (2),45.54164 N,62.89819 W,RP ,Penta,9.9,,,0,
180 (1),45.54235 N,62.89573 W,RP ,Penta,13.1,,0.299,0.151,
180 (2),45.54235 N,62.89573 W,RP ,Penta,9.6,,0.832,0.303,
181 (1),45.54329 N,62.89289 W,DF ,Penta,6.1,,0.638,0.269,
181 (2),45.54329 N,62.89289 W,DF ,Penta,8.2,,1.607,0.677,
182 (1),45.54392 N,62.89079 W,RP ,Penta,9.9,,0.623,0.227,
182 (2),45.54392 N,62.89079 W,RP ,Penta,6.2,,0.237,0.086,
183 (1),45.54449 N,62.88901 W,YP,Penta,9.2,,1.241,0.628,
183 (2),45.54449 N,62.88901 W,YP,Penta,6.3,,0.914,0.462,
184 (1),45.54575 N,62.88656 W,DF ,Penta,7.8,,1.695,0.714,
184 (2),45.54575 N,62.88656 W,DF ,Penta,7.6,,0.821,0.346,
185 (1),45.54611 N,62.88372 W,DF ,Penta,6.6,,,0,
185 (2),45.54611 N,62.88372 W,DF ,Penta,6.4,,,0,
186 (1),45.54681 N,62.88154 W,DF ,Penta,6.6,,0.558,0.235,
186 (2),45.54681 N,62.88154 W,DF ,Penta,6.3,,1.765,0.744,
187 (1),45.54776 N,62.87878 W,RP ,Penta,6.2,,,0,
187 (2),45.54776 N,62.87878 W,RP ,Penta,6.3,,,0,
188 (1),45.54806 N,62.87742 W,DF ,Penta,7.3,,1.929,0.813,
188 (2),45.54806 N,62.87742 W,DF ,Penta,6.2,,1.012,0.427,
189 (1),45.54923 N,62.87395 W,DF ,Penta,7.9,,1.481,0.624,
189 (2),45.54923 N,62.87395 W,DF ,Penta,6.2,,0.984,0.415,
190 (1),45.54967 N,62.87231 W,P ,Penta,11.8,,,0,
190 (2),45.54967 N,62.87231 W,P ,Penta,9.5,,,0,
191 (1),45.55026 N,62.87053 W,P ,Penta,6.5,,,0,
191 (2),45.55026 N,62.87053 W,P ,Penta,8.5,,,0,
192 (1),45.55087 N,62.86869 W,DF ,Penta,6.3,,1.493,0.629,
192 (2),45.55087 N,62.86869 W,DF ,Penta,7.4,,1.226,0.517,
193 (1),45.55165 N,62.86635 W,P ,Penta,12,,,0,
193 (2),45.55165 N,62.86635 W,P ,Penta,6.5,,,0,
194 (1),45.55250 N,62.86338 W,P ,Penta,8.9,,,0,
194 (2),45.55250 N,62.86338 W,P,Penta,6,,,0,
195 (1),45.55331 N,62.86338 W,DF ,Penta,6.2,,0.481,0.203,
195 (2),45.55331 N,62.86338 W,DF ,Penta,6.4,,1.005,0.424,
196 (1),45.55388 N,62.85877 W,DF ,Penta,7.1,,1.12,0.472,
196 (2),45.55388 N,62.85877 W,DF ,Penta,6.5,,0.531,0.224,
197 (1),45.55459 N,62.85692 W,P ,Penta,6,,0.777,0.328,
197 (2),45.55459 N,62.85692 W,P ,Penta,6.7,,,0,
198 (1),45.55569 N,62.85310 W,P ,Penta,9.1,,0.743,0.313,
198 (2),45.55569 N,62.85310 W,P ,Penta,9.3,,0.291,0.122,
199 (1),45.55630 N,62.85044 W,P ,Penta,8.7,,,0,
199 (2),45.55630 N,62.85044 W,P ,Penta,6.7,,,0,
200 (1),45.55725 N,62.84851 W,P ,Penta,6.8,,,0,
200 (2),45.55725 N,62.84851 W,P ,Penta,6.2,,,0,
201 (1),45.55791 N,62.84606 W,P ,Penta,6.3,,0.91,0.46,
201 (2),45.55791 N,62.84606 W,P ,Penta,6.2,,0.561,0.283,
202 (1),45.55861 N,62.84369 W,P ,Penta,6.9,,,0,
202 (2),45.55861 N,62.84369 W,P ,Penta,8.3,,,0,
203 (1),45.595 N,62.84076 W,DF ,Penta,7,,0.751,0.317,
203 (2),45.595 N,62.84076 W,DF ,Penta,6.8,,1.102,0.465,
204 (1),45.56040 N,62.83793 W,RP,Penta,7.8,,0.815,0.297,
204 (2),45.56040 N,62.83793 W,RP,Penta,7.3,,0.823,0.3,
205 (1),45.56162 N,62.83401 W,DF ,Penta,6.4,,0.082,0.035,
205 (2),45.56162 N,62.83401 W,DF ,Penta,6.2,,0.427,0.18,
206 (1),45.56267 N,62.83025 W,RP,Penta,8.6,,0.817,0.298,
206 (2),45.56267 N,62.83025 W,RP,Penta,7.2,,0.914,0.333,
207 (1),45.56338 N,62.82824 W,P ,Penta,6.1,,,0,
207 (2),45.56338 N,62.82824 W,P ,Penta,6,,,0,
208 (1),45.56392 N,62.82678 W,P ,Penta,6.9,,,0,
208 (2),45.56392 N,62.82678 W,P ,Penta,7.1,,,0,
209 (1),45.56456 N,62.82445 W,DF ,Penta,8.9,,1.676,0.707,
209 (2),45.56456 N,62.82445 W,DF ,Penta,6.2,,0.543,0.229,
210 (1),45.56564 N,62.82108 W,DF ,Penta,6.1,,0.286,0.12,
210 (2),45.56564 N,62.82108 W,DF ,Penta,6.3,,0.395,0.166,
211 (1),45.56611 N,62.81921 W,P ,Penta,8.6,,,0,
211 (2),45.56611 N,62.81921 W,P ,Penta,6.4,,,0,
212 (1),45.56679 N,62.81739 W,YP,Penta,6.1,,1.164,0.588,
212 (2),45.56679 N,62.81739 W,YP,Penta,6.6,,0.471,0.238,
213 (1),45.56730 N,62.81578 W,P ,Penta,7.9,,,0,
213 (2),45.56730 N,62.81578 W,P ,Penta,12.1,,0.705,0.257,
214 (1),45.56791 N,62.81373 W,P ,Penta,6.5,,0.635,0.321,
214 (2),45.56791 N,62.81373 W,P ,Penta,7.7,,1.287,0.65,
215 (1),45.56830 N,62.81214 W,P ,Penta,7.4,,,0,
215 (2),45.56830 N,62.81214 W,P ,Penta,8.1,,,0,
215 (3),45.56830 N,62.81214 W,P ,Penta,6.2,,,0,
216 (1),45.57006 N,62.80673 W,DF ,Penta,7.5,,0.038,0.016,
216 (2),45.57006 N,62.80673 W,DF ,Penta,6.6,,0.576,0.243,
216 (3),45.57006 N,62.80673 W,DF ,Penta,5.9,,0.204,0.086,
217 (1),45.57049 N,62.80534 W,DF ,Penta,7.5,,0.262,0.111,
217 (2),45.57049 N,62.80534 W,DF ,Penta,7.1,,0.475,0.2,
217 (3),45.57049 N,62.80534 W,DF ,Penta,7.3,,0.181,0.076,
218 (1),45.57122 N,62.80344 W,RP,Penta,13.3,,,0,
218 (2),45.57122 N,62.80344 W,RP,Penta,10.1,,,0,
219 (1),45.57172 N,62.80151 W,P ,Penta,8.7,,,0,
219 (2),45.57172 N,62.80151 W,P ,Penta,6.8,,,0,
220 (1),45.57291 N,62.80000 W,P ,Penta,9,,,0,
220 (2),45.57291 N,62.80000 W,P ,Penta,7,,,0,
221 (1),45.57291 N,62.7977 W,P ,Penta,10.9,,,0,
221 (2),45.57291 N,62.7977 W,P ,Penta,8.5,,,0,
222 (1),45.57384 N,62.79469 W,P ,Penta,11.9,,0.505,0.255,
222 (2),45.57384 N,62.79469 W,P ,Penta,7.9,,0.801,0.405,
223 (1),45.57471 N,62.79193 W,P ,Penta,10.1,,0.811,0.41,
223 (2),45.57471 N,62.79193 W,P ,Penta,6.8,,0.858,0.434,
224 (1),45.57530 N,62.79005 W,RP,Penta,6.2,,,0,
224 (2),45.57530 N,62.79005 W,RP,Penta,6.4,,,0,
225 (1),45.57583 N,62.78830 W,P ,Penta,6.7,,,0,
225 (2),45.57583 N,62.78830 W,P ,Penta,6.2,,,0,
226 (1),45.57627 N,62.78672 W,P ,Penta,9.6,,,0,
226 (2),45.57627 N,62.78672 W,P ,Penta,9.4,,,0,
226 (3),45.57627 N,62.78672 W,P ,Penta,9.2,,,0,
227 (1),45.57702 N,62.78476 W,DF ,Penta,9.5,,1.638,0.69,
227 (2),45.57702 N,62.78476 W,DF ,Penta,6.3,,0.253,0.107,
228 (1),45.57794 N,62.78219 W,P ,Penta,7.7,,,0,
228 (2),45.57794 N,62.78219 W,P ,Penta,6.5,,,0,
229 (1),45.57885 N,62.77739 W,DF ,Penta,7.5,,1.656,0.698,
229 (2),45.57885 N,62.77739 W,DF ,Penta,8.5,,0.703,0.296,
230 (1),45.57959 N,62.77739 W,DF ,Penta,10.7,,1.575,0.664,
230 (2),45.57959 N,62.77739 W,DF ,Penta,6.7,,0.445,0.187,
231 (1),45.58051 N,62.77499 W,P ,Penta,7.9,,,0,
231 (2),45.58051 N,62.77499 W,P ,Penta,6.5,,,0,
232 (1),45.58134 N,62.77261 W,DF ,Penta,6.2,,0.275,0.116,
232 (2),45.58134 N,62.77261 W,DF ,Penta,6,,0.384,0.162,
233 (1),45.58212 N,62.77035 W,DF ,Penta,15.5,,1.82,0.767,
233 (2),45.58212 N,62.77035 W,DF ,Penta,11.1,,1.023,0.431,
234 (1),45.58294 N,62.76796 W,P ,Penta,10.2,,,0,
234 (2),45.58294 N,62.76796 W,P ,Penta,10.1,,,0,
235 (1),45.58374 N,62.76577 W,P ,Penta,6.1,,,0,
235 (2),45.58374 N,62.76577 W,P ,Penta,6.3,,,0,
236 (1),45.58435 N,62.76396 W,P ,Penta,9.1,,,0,
236 (2),45.58435 N,62.76396 W,P ,Penta,9.3,,,0,
237 (1),45.58498 N,62.76216 W,DF ,Penta,7.1,,0.157,0.066,
237 (2),45.58498 N,62.76216 W,DF ,Penta,8.3,,0.169,0.071,
238 (1),45.58586 N,62.75967 W,P ,Penta,9.1,,,0,
238 (2),45.58586 N,62.75967 W,P ,Penta,9.4,,,0,
239 (1),45.58653 N,62.75794 W,DF ,Penta,9.5,,1.462,0.616,
239 (2),45.58653 N,62.75794 W,DF ,Penta,9.3,,2.357,0.994,
240 (1),45.58764 N,62.75485 W,P ,Penta,13.4,,0.76,0.277,
240 (2),45.58764 N,62.75485 W,P ,Penta,12.8,,0.996,0.363,
241 (1),45.58819 N,62.75301 W,P ,Penta,9.6,,,0,
241 (2),45.58819 N,62.75301 W,P ,Penta,10.2,,,0,
241 (3),45.58819 N,62.75301 W,DF ,Penta,11.1,,1.183,0.431,
242 (1),45.59050 N,62.74657 W,DF ,Penta,14.3,,1.403,0.592,
242 (2),45.59050 N,62.74657 W,DF ,Penta,13.7,,2.286,0.964,
242 (3),45.59050 N,62.74657 W,DF ,Penta,13.4,,0.737,0.311,
243 (1),45.59104 N,62.74487 W,DF ,Penta,9.5,,0.42,0.177,
243 (2),45.59104 N,62.74487 W,DF ,Penta,9,,1.042,0.439,
244 (1),45.59207 N,62.74245 W,DF ,Penta,9.1,,1.435,0.605,
244 (2),45.59207 N,62.74245 W,DF ,Penta,8.7,,0.715,0.301,
245 (1),45.59271 N,62.74050 W,WRC,Penta,16.7,LEFT UN-ANALYSED,,0,
245 (2),45.59271 N,62.74050 W,WRC,Penta,14.9,LEFT UN-ANALYSED,,0,
246 (1),45.59376 N,62.73766 W,YP,Penta,12.8,,1.325,0.67,
246 (2),45.59376 N,62.73766 W,YP,Penta,9.9,,0.185,0.094,
247 (1),45.59468 N,62.73484 W,P ,Penta,9.6,,,0,
247 (2),45.59468 N,62.73484 W,P ,Penta,13.3,,,0,
248 (1),45.59555 N,62.73230 W,DF ,Penta,16.9,,1.4,0.59,
248 (2),45.59555 N,62.73230 W,DF ,Penta,11.2,,2.132,0.899,
249 (1),45.59645 N,62.72969 W,P ,Penta,12.1,,,0,
249 (2),45.59645 N,62.72969 W,P ,Penta,16.2,,,0,
250 (1),45.59717 N,62.72782 W,DF,Penta,12.6,,2.019,0.851,
250 (2),45.59717 N,62.72782 W,DF ,Penta,9.2,,1.523,0.642,
251 (1),45.59993 N,62.71638 W,P ,Penta,6.4,,,0,
251 (2),45.59993 N,62.71638 W,P ,Penta,6.8,,,0,
252 (1),45.59873 N,62.72315 W,P ,Penta,8.7,,,0,
252 (2),45.59873 N,62.72315 W,Cedar,Penta,10.9,LEFT UN-ANALYSED,,0,
253 (1),45.59935 N,62.72136 W,YP,Penta,6.5,,,0,
253 (2),45.59935 N,62.72136 W,YP,Penta,7.1,,,0,
254 (1),45.60017 N,62.71898 W,YP,Penta,12.6,,1.093,0.368,
254 (2),45.60017 N,62.71898 W,YP,Penta,8.8,,0.604,0.203,
255 (1),45.60100 N,62.71673 W,YP,Penta,11.1,,,0,
255 (2),45.60100 N,62.71673 W,YP,Penta,7.1,,,0,
256 (1),45.60187 N,62.71425 W,WRC,Penta,14.1,,,-0.012,Pre-Test (Low Range)
256 (2),45.60187 N,62.71425 W,WRC,Penta,8.3,,,-0.013,Pre-Test (Low Range)
257 (1),45.60278 N,62.71161 W,WRC,Penta,16.3,,0.692,0.159,
257 (2),45.60278 N,62.71161 W,WRC,Penta,12.2,,0.464,0.107,
258 (1),45.60353 N,62.70970 W,P ,Penta,12.1,Appeared to be treated with Creo,,-0.005,Pre-Test (Low Range)
258 (2),45.60353 N,62.70970 W,P ,Penta,,Appeared to be treated with Creo,,0.001,Pre-Test (Low Range)
259 (1),45.60421 N,62.70756 W,DF ,Penta,9.9,,0.945,0.266,
259 (2),45.60421 N,62.70756 W,RP,Penta,13.2,,0.924,0.26,
260 (1),45.60496 N,62.70545 W,RP,Penta,8.6,,1.516,0.368,
260 (2),45.60496 N,62.70545 W,RP,Penta,10.6,,0.646,0.157,
261 (1),45.60586 N,62.70291 W,DF ,Penta,11.3,,0.521,0.146,
261 (2),45.60586 N,62.70291 W,DF ,Penta,10.8,,1.413,0.397,
262 (1),45.60671 N,62.70065 W,DF ,Penta,8.2,,0.111,0.031,
262 (2),45.60671 N,62.70065 W,DF ,Penta,8.3,,0.64,0.18,
262 (3),45.60671 N,62.70065 W,DF ,Penta,9.6,,0.193,0.054,
263 (1),45.61408 N,62.67668 W,RP,Penta,10.9,Appeared to be treated with Creo,,0.001,Pre-Test (Low Range)
263 (2),45.61408 N,62.67668 W,RP,Penta,10.4,Appeared to be treated with Creo,,-0.002,Pre-Test (Low Range)
264 (1),45.60756 N,62.69669 W,YP,CCA,12.7,,,0,
264 (2),45.60756 N,62.69669 W,YP,CCA,10.2,,,0,
265 (1),45.60821 N,62.69402 W,RP,Penta,13.5,,0.789,0.192,
265 (2),45.60821 N,62.69402 W,RP,Penta,10.5,,0.293,0.071,
266 (1),45.60877 N,62.69163 W,RP,Penta,12.2,,0.257,0.063,
266 (2),45.60877 N,62.69163 W,RP,Penta,10.8,,0.964,0.234,
267 (1),45.60935 N,62.68931 W,DF ,Penta,12.5,,0.81,0.228,
267 (2),45.60935 N,62.68931 W,DF ,Penta,13.6,,2.385,0.67,
268 (1),45.61031 N,62.68514 W,DF ,Penta,12.1,,1.057,0.297,
268 (2),45.61031 N,62.68514 W,DF ,Penta,10.8,,0.822,0.231,
269 (1),45.61096 N,62.86246 W,P ,Penta,10.2,Appeared to be treated with Creo,,0.017,Pre-Test (Low Range)
269 (2),45.61096 N,62.86246 W,P ,Penta,9.7,Appeared to be treated with Creo,,0.01,Pre-Test (Low Range)
270 (1),45.61151 N,62.67731 W,DF ,Penta,8.7,,1.69,0.475,
270 (2),45.61151 N,62.67731 W,DF ,Penta,11.1,,0.974,0.274,
271 (1),45.61278 N,62.67731 W,DF ,Penta,9.2,,1.125,0.316,
271 (2),45.61278 N,62.67731 W,DF ,Penta,7.3,,2.34,0.658,
272 (1),45.61270 N,62.67498 W,RP,Penta,17.5,,1.251,0.304,
272 (2),45.61270 N,62.67498 W,RP,Penta,17.6,,0.641,0.156,
272 (3),45.61270 N,62.67498 W,RP,Penta,14.3,,0.628,0.153,
273 (1),45.61386 N,62.67270 W,SYP,CCA,13.3,,,0,
273 (2),45.61386 N,62.67270 W,SYP,CCA,8.9,,,0,
274 (1),45.61490 N,62.67077 W,RP,Creo?,11.2,Appeared to be treated with Creo,,-0.005,Pre-Test (Low Range)
274 (2),45.61490 N,62.67077 W,RP,Creo?,8.9,Appeared to be treated with Creo,,-0.008,Pre-Test (Low Range)
275 (1),45.61578 N,62.66880 W,RP,Creo?,8.4,Appeared to be treated with Creo,,-0.004,Pre-Test (Low Range)
275 (2),45.61578 N,62.66880 W,RP,Creo?,10.1,Appeared to be treated with Creo,,-0.007,Pre-Test (Low Range)
276 (1),45.61676 N,62.66705 W,RP,Creo?,17.3,Appeared to be treated with Creo,,-0.005,Pre-Test (Low Range)
